capture_id,report,date,radio,channel,edge,gain_mode,configured_gain_db,sample_rate_hz,capture_rms_rx0_dbfs,capture_rms_rx1_dbfs,track_count,dual_valid_track_count,strong_slope_track_count
ch4-lower-edge-narrow-20260809T155556Z,ch4-lower-edge-narrow-20260809T155556Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,slow_attack,,2500000.0,-12.248339560545084,-12.299374770130427,2,2,2
ch4-lower-edge-narrow-20260809T155839Z,ch4-lower-edge-narrow-20260809T155839Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,manual,50.0,2500000.0,-28.14692300499989,-32.76012869461723,1,1,1
ch4-lower-edge-narrow-20260809T160042Z,ch4-lower-edge-narrow-20260809T160042Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,manual,50.0,2500000.0,-28.055242415952083,-32.72504754766886,2,2,2
ch4-lower-edge-narrow-20260809T160324Z,ch4-lower-edge-narrow-20260809T160324Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,manual,50.0,2500000.0,-28.20717400633326,-32.852580731670976,1,1,1
ch4-lower-edge-narrow-20260809T160527Z,ch4-lower-edge-narrow-20260809T160527Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,slow_attack,,2500000.0,-12.473784729236904,-12.88015532235804,2,2,2
ch4-lower-edge-narrow-20260809T160809Z,ch4-lower-edge-narrow-20260809T160809Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,manual,50.0,2500000.0,-27.34636118789257,-32.01731671454562,5,5,5
ch4-lower-edge-narrow-20260809T161012Z,ch4-lower-edge-narrow-20260809T161012Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,slow_attack,,2500000.0,-12.321208840172773,-12.355583902224927,3,3,3
ch4-lower-edge-narrow-20260809T161254Z,ch4-lower-edge-narrow-20260809T161254Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,slow_attack,,2500000.0,-12.290999705881116,-12.91579659819696,4,4,4
ch4-lower-edge-narrow-20260809T161459Z,ch4-lower-edge-narrow-20260809T161459Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,manual,50.0,2500000.0,-28.024495905738718,-32.68130767183403,4,4,4
ch4-lower-edge-narrow-20260809T161812Z,ch4-lower-edge-narrow-20260809T161812Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,manual,50.0,2500000.0,-27.593166752695698,-32.22514732161607,5,5,5
ch4-lower-edge-narrow-20260809T162015Z,ch4-lower-edge-narrow-20260809T162015Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,slow_attack,,2500000.0,-12.613454325933112,-13.103536908892657,1,1,1
ch4-lower-edge-narrow-20260809T162258Z,ch4-lower-edge-narrow-20260809T162258Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,manual,50.0,2500000.0,-28.278128851023133,-32.77656252651576,2,2,2
ch4-lower-edge-narrow-20260809T162501Z,ch4-lower-edge-narrow-20260809T162501Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,slow_attack,,2500000.0,-12.48077598527729,-12.615123798616265,1,1,1
ch4-lower-edge-narrow-20260809T162743Z,ch4-lower-edge-narrow-20260809T162743Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,slow_attack,,2500000.0,-12.505840937003276,-12.613148534036519,1,1,0
ch4-lower-edge-narrow-20260809T163034Z,ch4-lower-edge-narrow-20260809T163034Z.json,2026-08-10,pluto://ip:192.168.2.1,4,lower,slow_attack,,2500000.0,-12.475356766375139,-12.552066175540995,1,1,1
ch4-lower-edge-narrow-20260809T163320Z,ch4-lower-edge-narrow-20260809T163320Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,manual,50.0,2500000.0,-28.24428349890338,-32.82017415915608,2,2,2
ch4-lower-edge-narrow-20260809T163523Z,ch4-lower-edge-narrow-20260809T163523Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,slow_attack,,2500000.0,-12.564145754699418,-12.375681347874174,6,6,6
ch4-lower-edge-narrow-20260809T163802Z,ch4-lower-edge-narrow-20260809T163802Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,manual,50.0,2500000.0,-28.066992900540505,-32.519089534929975,2,2,2
ch4-lower-edge-narrow-20260809T164004Z,ch4-lower-edge-narrow-20260809T164004Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,manual,50.0,2500000.0,-28.02971739862926,-32.600805859702334,3,3,3
ch4-lower-edge-narrow-20260809T164312Z,ch4-lower-edge-narrow-20260809T164312Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,slow_attack,,2500000.0,-12.531124892900074,-12.726117299795856,2,2,2
ch4-lower-edge-narrow-20260809T164516Z,ch4-lower-edge-narrow-20260809T164516Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,slow_attack,,2500000.0,-12.565990234730124,-13.099840091589279,1,1,1
ch4-lower-edge-narrow-20260809T164755Z,ch4-lower-edge-narrow-20260809T164755Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,slow_attack,,2500000.0,-12.518005435500584,-12.60907626216987,4,4,4
ch4-lower-edge-narrow-20260809T165000Z,ch4-lower-edge-narrow-20260809T165000Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,manual,50.0,2500000.0,-28.23378735437387,-32.687478947110975,2,2,2
ch4-lower-edge-narrow-20260809T165238Z,ch4-lower-edge-narrow-20260809T165238Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,manual,50.0,2500000.0,-27.88532519112068,-32.45629040049169,4,4,4
ch4-lower-edge-narrow-20260809T165440Z,ch4-lower-edge-narrow-20260809T165440Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,manual,50.0,2500000.0,-28.291099922369185,-32.80164688232262,2,2,2
ch4-lower-edge-narrow-20260809T165717Z,ch4-lower-edge-narrow-20260809T165717Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,slow_attack,,2500000.0,-12.521608713457844,-12.022765343888729,2,2,2
ch4-lower-edge-narrow-20260809T165921Z,ch4-lower-edge-narrow-20260809T165921Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,manual,50.0,2500000.0,-28.157493242420017,-32.65547796446705,5,5,4
ch4-lower-edge-narrow-20260809T170159Z,ch4-lower-edge-narrow-20260809T170159Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,manual,50.0,2500000.0,-28.207911471195196,-32.64344480441359,1,1,1
ch4-lower-edge-narrow-20260809T170401Z,ch4-lower-edge-narrow-20260809T170401Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,slow_attack,,2500000.0,-12.616753348159783,-12.58464634085215,3,3,3
ch4-lower-edge-narrow-20260809T170753Z,ch4-lower-edge-narrow-20260809T170753Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,slow_attack,,2500000.0,-12.9590663342308,-12.424622971291797,1,1,1
ch4-lower-edge-narrow-20260809T170959Z,ch4-lower-edge-narrow-20260809T170959Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,slow_attack,,2500000.0,-12.501384712604775,-12.347877147377957,4,0,0
ch4-lower-edge-narrow-20260809T171237Z,ch4-lower-edge-narrow-20260809T171237Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,slow_attack,,2500000.0,-12.48435075364267,-12.294430236646761,3,0,0
ch4-lower-edge-narrow-20260809T171442Z,ch4-lower-edge-narrow-20260809T171442Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,slow_attack,,2500000.0,-12.475018304132773,-12.406716626934536,7,7,2
ch4-lower-edge-narrow-20260809T171722Z,ch4-lower-edge-narrow-20260809T171722Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,slow_attack,,2500000.0,-12.551327568550168,-12.524739791278636,1,1,1
ch4-lower-edge-narrow-20260809T171926Z,ch4-lower-edge-narrow-20260809T171926Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,slow_attack,,2500000.0,-12.594841407958373,-12.359855583570887,1,0,0
ch4-lower-edge-narrow-20260809T172206Z,ch4-lower-edge-narrow-20260809T172206Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,slow_attack,,2500000.0,-12.60354050069074,-12.461673990056559,1,1,1
ch4-lower-edge-narrow-20260809T172410Z,ch4-lower-edge-narrow-20260809T172410Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,slow_attack,,2500000.0,-12.686531763178362,-12.444190090758454,0,0,0
ch4-lower-edge-narrow-20260809T172651Z,ch4-lower-edge-narrow-20260809T172651Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,slow_attack,,2500000.0,-12.698169886095771,-12.442575390588095,1,1,1
ch4-lower-edge-narrow-20260809T172856Z,ch4-lower-edge-narrow-20260809T172856Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,slow_attack,,2500000.0,-12.598731164270836,-12.383613057315479,1,1,1
ch4-lower-edge-narrow-20260809T173207Z,ch4-lower-edge-narrow-20260809T173207Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,slow_attack,,2500000.0,-12.490464597980138,-12.369720990639886,2,0,0
ch4-lower-edge-narrow-20260809T173412Z,ch4-lower-edge-narrow-20260809T173412Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,slow_attack,,2500000.0,-12.64178426375265,-12.409106018791846,1,1,1
ch4-lower-edge-narrow-20260809T173653Z,ch4-lower-edge-narrow-20260809T173653Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,manual,50.0,2500000.0,-28.610823872081163,-32.59320309307348,4,4,3
ch4-lower-edge-narrow-20260809T173855Z,ch4-lower-edge-narrow-20260809T173855Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,manual,50.0,2500000.0,-28.944628176049182,-32.98330791534811,1,1,1
ch4-lower-edge-narrow-20260809T174134Z,ch4-lower-edge-narrow-20260809T174134Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,slow_attack,,2500000.0,-12.469466919200267,-12.412670985574996,3,3,2
ch4-lower-edge-narrow-20260809T174423Z,ch4-lower-edge-narrow-20260809T174423Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,slow_attack,,2500000.0,-12.655138865473763,-12.46114519426061,0,0,0
ch4-lower-edge-narrow-20260809T174704Z,ch4-lower-edge-narrow-20260809T174704Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,manual,50.0,2500000.0,-29.452758402028046,-33.29677791843886,1,0,0
ch4-lower-edge-narrow-20260809T174907Z,ch4-lower-edge-narrow-20260809T174907Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,slow_attack,,2500000.0,-12.556973959193664,-12.296500534540023,4,0,0
ch4-lower-edge-narrow-20260809T175147Z,ch4-lower-edge-narrow-20260809T175147Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,manual,50.0,2500000.0,-29.23173151576979,-33.007471868065664,1,1,1
ch4-lower-edge-narrow-20260809T175350Z,ch4-lower-edge-narrow-20260809T175350Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,manual,50.0,2500000.0,-29.13438218337764,-33.016428383899914,0,0,0
ch4-lower-edge-narrow-20260809T175701Z,ch4-lower-edge-narrow-20260809T175701Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,manual,50.0,2500000.0,-29.02395452635666,-33.03995958196857,2,2,2
ch4-lower-edge-narrow-20260809T175903Z,ch4-lower-edge-narrow-20260809T175903Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,slow_attack,,2500000.0,-12.66492381284043,-12.441969665670442,1,1,1
ch4-lower-edge-narrow-20260809T180144Z,ch4-lower-edge-narrow-20260809T180144Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,manual,50.0,2500000.0,-29.000440438164304,-33.1002343160266,1,1,1
ch4-lower-edge-narrow-20260809T180347Z,ch4-lower-edge-narrow-20260809T180347Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,manual,50.0,2500000.0,-28.928752013184173,-33.0623598776256,1,0,0
ch4-lower-edge-narrow-20260809T180625Z,ch4-lower-edge-narrow-20260809T180625Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,slow_attack,,2500000.0,-12.78652639184702,-12.349327492561253,4,0,0
ch4-lower-edge-narrow-20260809T180830Z,ch4-lower-edge-narrow-20260809T180830Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,slow_attack,,2500000.0,-12.523530571277849,-12.508142381343983,0,0,0
ch4-lower-edge-narrow-20260809T181110Z,ch4-lower-edge-narrow-20260809T181110Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,manual,50.0,2500000.0,-28.718366154591017,-32.975700324051644,0,0,0
ch4-lower-edge-narrow-20260809T181313Z,ch4-lower-edge-narrow-20260809T181313Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,slow_attack,,2500000.0,-12.75710856560028,-12.283649434667668,0,0,0
ch4-lower-edge-narrow-20260809T181553Z,ch4-lower-edge-narrow-20260809T181553Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,slow_attack,,2500000.0,-12.659886275029068,-12.446481889790107,1,1,1
ch4-lower-edge-narrow-20260809T181757Z,ch4-lower-edge-narrow-20260809T181757Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,manual,50.0,2500000.0,-28.88329409849994,-33.117931798134926,0,0,0
ch4-lower-edge-narrow-20260809T182147Z,ch4-lower-edge-narrow-20260809T182147Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,slow_attack,,2500000.0,-12.500270337319485,-12.323976669476318,4,4,2
ch4-lower-edge-narrow-20260809T182352Z,ch4-lower-edge-narrow-20260809T182352Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,manual,50.0,2500000.0,-28.416452558018932,-32.7222946169337,3,3,3
ch4-lower-edge-narrow-20260809T182630Z,ch4-lower-edge-narrow-20260809T182630Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,manual,50.0,2500000.0,-28.38686580511343,-32.634786441558425,3,3,2
ch4-lower-edge-narrow-20260809T182832Z,ch4-lower-edge-narrow-20260809T182832Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,slow_attack,,2500000.0,-12.74720833851376,-12.34264943505142,1,1,1
ch4-lower-edge-narrow-20260809T183113Z,ch4-lower-edge-narrow-20260809T183113Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,manual,50.0,2500000.0,-28.39429554872288,-32.700722134198216,2,2,2
ch4-lower-edge-narrow-20260809T183315Z,ch4-lower-edge-narrow-20260809T183315Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,slow_attack,,2500000.0,-12.877046885979617,-12.352542864262793,2,2,2
ch4-lower-edge-narrow-20260809T183556Z,ch4-lower-edge-narrow-20260809T183556Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,manual,50.0,2500000.0,-28.17787905754495,-32.50396590636156,4,4,2
ch4-lower-edge-narrow-20260809T183759Z,ch4-lower-edge-narrow-20260809T183759Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,manual,50.0,2500000.0,-28.34069267203473,-32.54135975565739,4,4,2
ch4-lower-edge-narrow-20260809T184038Z,ch4-lower-edge-narrow-20260809T184038Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,slow_attack,,2500000.0,-12.74585917605015,-12.256329004348617,3,0,0
ch4-lower-edge-narrow-20260809T184242Z,ch4-lower-edge-narrow-20260809T184242Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,slow_attack,,2500000.0,-12.809716135757183,-12.319772944363045,1,1,1
ch4-lower-edge-narrow-20260809T184555Z,ch4-lower-edge-narrow-20260809T184555Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,slow_attack,,2500000.0,-12.630086346284575,-12.744809180961468,3,3,3
ch4-lower-edge-narrow-20260809T184800Z,ch4-lower-edge-narrow-20260809T184800Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,manual,50.0,2500000.0,-28.252012890766274,-32.70505815715529,2,2,2
ch4-lower-edge-narrow-20260809T185038Z,ch4-lower-edge-narrow-20260809T185038Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,slow_attack,,2500000.0,-12.472131925592102,-12.801832547292832,4,4,4
ch4-lower-edge-narrow-20260809T185242Z,ch4-lower-edge-narrow-20260809T185242Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,slow_attack,,2500000.0,-12.92878999838248,-12.351159716119612,2,2,2
ch4-lower-edge-narrow-20260809T185522Z,ch4-lower-edge-narrow-20260809T185522Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,manual,50.0,2500000.0,-28.66057101178447,-32.90384987382893,2,2,2
ch4-lower-edge-narrow-20260809T185806Z,ch4-lower-edge-narrow-20260809T185806Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,manual,50.0,2500000.0,-28.878146693953347,-33.1161640323515,0,0,0
ch4-lower-edge-narrow-20260809T190045Z,ch4-lower-edge-narrow-20260809T190045Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,manual,50.0,2500000.0,-28.70139042822138,-32.964885597444734,1,1,1
ch4-lower-edge-narrow-20260809T190247Z,ch4-lower-edge-narrow-20260809T190247Z.json,2026-08-09,pluto://ip:192.168.2.1,4,lower,manual,50.0,2500000.0,-27.9202222220245,-32.26881830203527,3,3,2
