event_id,report,capture_id,track_id,date,radio,channel,edge,observation_mode,gain_mode,configured_gain_db,sample_rate_hz,nominal_rf_hz,observation_count,dual_valid_count,consensus_count,duration_s,dual_duration_s,doppler_drift_hz_s,doppler_fit_rms_hz,seed_score,best_weak_receiver_margin,median_weak_receiver_margin,median_score_margin,median_exact_correlation,median_control_correlation,median_template_discrimination_db,median_matched_filter_snr_proxy_db,median_formal_frequency_sigma_hz,capture_rms_rx0_dbfs,capture_rms_rx1_dbfs,dual_valid,strong,long,slope_qualified
ch4-lower-edge-narrow-20260806T213828Z::track-000,ch4-lower-edge-narrow-20260806T213828Z.json,ch4-lower-edge-narrow-20260806T213828Z,track-000,2026-08-07,pluto://ip:192.168.2.1,4,lower,narrow,slow_attack,,2500000.0,11459687500.0,11,11,11,1.0245369333333372,1.0245369333333372,-4213.015594120806,104.52916350265504,0.740622089947359,0.38122813524742266,0.3745578703988551,0.3783657086912673,0.39357615087270004,0.014896146971046279,28.358139885676383,-7.36850891421294,38.88281168418541,-12.548086353004752,-12.702801647996399,True,True,False,True
ch4-lower-edge-narrow-pluto-5d4d-20260810T082644Z::track-000,ch4-lower-edge-narrow-pluto-5d4d-20260810T082644Z.json,ch4-lower-edge-narrow-pluto-5d4d-20260810T082644Z,track-000,2026-08-10,pluto-5d4d,4,lower,narrow,manual,50.0,2500000.0,11459687500.0,28,28,28,3.1924009120965877,3.1924009120965877,-3308.00087972119,31.082619071755662,0.7714886197862206,0.3986411398879639,0.37228281131910346,0.37801490381947045,0.393394710453515,0.015425682731904172,28.20091118429751,-7.373233976657104,22.05029021746209,-27.364314948309598,-32.21167713969965,True,True,False,True
ch4-lower-edge-narrow-20260806T081312Z::track-009,ch4-lower-edge-narrow-20260806T081312Z.json,ch4-lower-edge-narrow-20260806T081312Z,track-009,2026-08-08,pluto://ip:192.168.2.1,4,lower,narrow,manual,50.0,2500000.0,11459687500.0,5,5,5,1.0611720888888954,1.0611720888888954,-4616.420182271243,28.977342508160028,0.7235358389091713,0.4228045424525136,0.3691908664222423,0.378134705336853,0.39326124017300723,0.014244733140344723,27.374942266600673,-7.377503180914863,80.64285180978632,-26.909224023750035,-31.91603810841481,True,True,False,True
ch4-lower-edge-narrow-20260807T033740Z::track-002,ch4-lower-edge-narrow-20260807T033740Z.json,ch4-lower-edge-narrow-20260807T033740Z,track-002,2026-08-07,pluto://ip:192.168.2.1,4,lower,narrow,manual,50.0,2500000.0,11459687500.0,10,10,10,0.9714213358490582,0.9714213358490582,-4205.926250604235,34.398471360033035,0.7956307454907908,0.44260247023290605,0.37512993123827787,0.3775887438808121,0.3922339249654572,0.014753755066263918,28.505405819169077,-7.403609040357508,25.601298815017138,-26.7965739341193,-31.637213527584017,True,True,False,True
ch4-lower-edge-narrow-20260809T182147Z::track-002,ch4-lower-edge-narrow-20260809T182147Z.json,ch4-lower-edge-narrow-20260809T182147Z,track-002,2026-08-09,pluto://ip:192.168.2.1,4,lower,narrow,slow_attack,,2500000.0,11459687500.0,98,98,98,23.799999999999997,23.799999999999997,-3679.6579871173167,242.15102105579217,0.6135577095579722,0.4357737991798299,0.3524072898367408,0.37766365224607423,0.3915507247829967,0.015538860981314476,28.007548495154168,-7.4215340802488585,50.0,-12.500270337319485,-12.323976669476318,True,True,True,True
ch4-lower-edge-narrow-20260808T191927Z::track-000,ch4-lower-edge-narrow-20260808T191927Z.json,ch4-lower-edge-narrow-20260808T191927Z,track-000,2026-08-08,pluto://ip:192.168.2.1,4,lower,narrow,manual,50.0,2500000.0,11459687500.0,30,30,30,4.326742735135134,4.326742735135134,-3763.8999502372335,92.80716657712382,0.755069151601397,0.4136699284162642,0.3699299865263618,0.3740546581838845,0.38935864631170325,0.015031397049979467,28.25067123373251,-7.4790177011752705,23.1905481473585,-28.18475920295455,-32.511990146163434,True,True,False,True
ch4-lower-edge-narrow-20260807T041231Z::track-003,ch4-lower-edge-narrow-20260807T041231Z.json,ch4-lower-edge-narrow-20260807T041231Z,track-003,2026-08-07,pluto://ip:192.168.2.1,4,lower,narrow,manual,50.0,2500000.0,11459687500.0,3,3,3,0.45973573521126454,0.45973573521126454,-3998.5580522903815,7.218500662235316,0.7248708654401397,0.4001352157664808,0.35262757431184594,0.37113035446580256,0.3887746085417925,0.014747218485719221,27.885226029942505,-7.494383397790926,24.431135304233507,-27.10772801527375,-31.95715228462735,True,True,False,True
ch4-lower-edge-narrow-20260806T140600Z::track-000,ch4-lower-edge-narrow-20260806T140600Z.json,ch4-lower-edge-narrow-20260806T140600Z,track-000,2026-08-07,pluto://ip:192.168.2.1,4,lower,narrow,manual,50.0,2500000.0,11459687500.0,8,8,8,0.9197181199999847,0.9197181199999847,-4635.215370112571,14.375426530215625,0.7921661588896118,0.3915795207540053,0.3581110502721576,0.3734451477650951,0.3885353254829196,0.01543413679532828,28.20135596585841,-7.501390332232282,48.156218526040675,-27.3797224714445,-32.278548545268535,True,True,False,True
ch4-lower-edge-narrow-20260807T082118Z::track-006,ch4-lower-edge-narrow-20260807T082118Z.json,ch4-lower-edge-narrow-20260807T082118Z,track-006,2026-08-08,pluto://ip:192.168.2.1,4,lower,narrow,slow_attack,,2500000.0,11459687500.0,50,50,50,5.053996535135127,5.053996535135127,-3858.949109350009,54.841595984269134,0.7813946241608685,0.4181629650634486,0.36213515606703883,0.3733479376697895,0.3880125622565702,0.015498266915426651,27.92939362576296,-7.514449361635602,23.15484874586771,-12.537833830233495,-12.273597105267706,True,True,True,True
ch4-lower-edge-narrow-20260809T195937Z::track-000,ch4-lower-edge-narrow-20260809T195937Z.json,ch4-lower-edge-narrow-20260809T195937Z,track-000,2026-08-09,pluto://ip:192.168.2.1,4,lower,narrow,manual,50.0,2500000.0,11459687500.0,12,12,12,10.899362661162513,10.899362661162513,-3830.0310595818514,18.784994605560932,0.6874320946064448,0.41287641419746196,0.3516695518086157,0.37122473224140107,0.3881066591911225,0.01607740110921258,27.517118802507863,-7.515173135180346,22.29396417025385,-28.737783979663142,-32.925488747209705,True,True,True,True
